ID,Sehir,Yas Durumu,Koruma Karari,Oldurme Nedeni,Katil,Olum Sekli,Katilin Durumu,Yil
267, Ankara , Resit ,   Yok ,Tespit Edilemeyen,Kocasi,Darp, Tutuklu ,2014.0
268, Ankara , Tespit Edilemeyen ,   Tespit Edilemeyen,Bosanma,Eski Kocasi,Atesli Silah, Sorusturma Suruyor ,2014.0
269, Ankara , Resit ,   Yok ,Tartisma,Kocasi,Kesici Alet, Tutuklu ,2014.0
270, Ankara , Resit ,   Yok ,Tartisma,Kocasi,Atesli Silah, Tutuklu ,2014.0
271, Ankara , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Ilac, Sorusturma Suruyor ,2014.0
272, Ankara , Resit ,   Yok ,Tartisma,Sevgilisi,Atesli Silah, Tutuklu ,2014.0
273, Ankara , Resit ,   Yok ,Bosanma Talebi,Kocasi,Atesli Silah, Intihar ,2014.0
274, Ankara , Resit ,   Yok ,Tartisma,Kocasi,Yakilma, Tutuklu ,2014.0
275, Antalya , Resit ,   Yok ,Namus,Abisi,Kesici Alet, Tutuklu ,2014.0
276, Antalya , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Tespit Edilemeyen,2014.0
277, Antalya , Resit ,   Yok ,Kiskanclik,Sevgilisi,Darp, Tutuklu ,2014.0
278, Antalya , Resit ,   Yok ,KiskancliK,Tanidigi Birisi,Kesici Alet, Tutuklu ,2014.0
279, Antalya , Resit ,   Yok ,Reddedilme,Sevgilisi,Intihar, Tutuklu ,2014.0
280, Ardahan , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Atesli Silah, Sorusturma Suruyor ,2014.0
281, Istanbul , Resit ,   Yok ,Tartisma,Oglu,Kesici Alet, Tutuklu ,2014.0
282, Aydin , Resit ,   Yok ,Ayrilik Talebi,Sevgilisi,Atesli Silah, Tutuklu ,2014.0
283, Balikesir , Resit ,   Yok ,Tartisma,Kocasi,Kesici Alet, Tutuklu ,2014.0
284, Balikesir , Resit ,   Yok ,Tespit Edilemeyen,Torunu,Kesici Alet, Tutuklu ,2014.0
285, Bolu , Resit ,   Yok ,Bosanma Talebi,Kocasi,Kesici Alet, Intihar ,2014.0
286, Bursa , Resit ,   Yok ,Tartisma,Kocasi,Kesici Alet, Araniyor ,2014.0
287, Bursa , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Sorusturma Suruyor ,2014.0
288, Bursa , Resit ,   Yok ,Tartisma,Tanimadigi Birisi,Atesli Silah, Tutuklu ,2014.0
289, Bursa , Resit ,   Yok ,Reddedilme ,Sevgilisi,Yakilma, Tutuklu ,2014.0
290, Bursa , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Atesli Silah, Sorusturma Suruyor ,2014.0
291, Corum , Resit ,   Yok ,Bosanma Talebi,Kocasi,Atesli Silah, Tutuklu ,2014.0
292, Corum , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Sorusturma Suruyor ,2014.0
293, Denizli , Resit ,   Yok ,Tespit Edilemeyen,Sevgilisi,Atesli Silah, Tutuklu ,2014.0
294, Denizli , Resit ,   Yok ,Tartisma,Sevgilisi,Kesici Alet, Tutuklu ,2014.0
295, Denizli , Resit ,   Yok ,Tartisma,Kocasi,Bogulma, Intihar ,2014.0
296, Diyarbakir , Tespit Edilemeyen ,   Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen,Atesli Silah, Sorusturma Suruyor,2014.0
297, Diyarbakir , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Atesli Silah, Tespit Edilemeyen,2014.0
298, Duzce , Resit ,   Yok ,Tespit Edilemeyen,Sevgilisi,Tespit Edilemeyen, Intihar ,2014.0
299, Elazig , Resit ,   Yok ,Tespit Edilemeyen,Eski Kocasi,Atesli Silah, Araniyor ,2014.0
300, Eskisehir , Resit ,   Yok ,Tartisma,Sevgilisi,Kesici Alet, Intihar ,2014.0
301, Eskisehir , Resit ,   Yok ,Tartisma,Sevgilisi,Kesici Alet, Tutuklu ,2014.0
302, Gaziantep , Resit ,   Yok ,Tartisma,Tanidigi Birisi,Kesici Alet, Tutuklu ,2014.0
303, Gaziantep , Resit ,   Yok ,Tartisma,Kocasi,Kesici Alet, Tutuklu ,2014.0
304, Gaziantep , Resit ,   Yok ,Kiz Kacirma,Tespit Edilemeyen,Kesici Alet, Sorusturma Suruyor ,2014.0
305, Gaziantep , Resit ,   Yok ,Tartisma,Oglu,Kesici Alet, Tutuklu ,2014.0
306, Hatay , Resit ,   Tespit Edilemeyen ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Tespit Edilemeyen,2014.0
307, Isparta , Resit ,   Yok ,Tartisma,Kardesi,Atesli Silah, Araniyor ,2014.0
308, Istanbul , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Yuksekten Dusme, Tespit Edilemeyen,2014.0
309, Istanbul , Resit ,   Yok ,Nefret,Tespit Edilemeyen,Darp, Araniyor ,2014.0
310, Istanbul , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Atesli Silah, Tespit Edilemeyen,2014.0
311, Istanbul , Resit ,   Yok ,Tartisma,Kocasi,Atesli Silah, Intihar ,2014.0
312, Istanbul , Resit ,   Yok ,Tartisma,Kocasi,Kesici Alet, Tutuklu ,2014.0
313, Istanbul , Resit ,   Yok ,Tartisma,Tanidigi Birisi,Kesici Alet, Tutuklu ,2014.0
314, Istanbul , Resit ,   Yok ,Tartisma,Kocasi,Atesli Silah, Tutuklu ,2014.0
315, Istanbul , Resit ,   Yok ,Tespit Edilemeyen,Sevgilisi,Tecavuz, Tutuklu ,2014.0
316, Istanbul , Resit ,   Yok ,Tespit Edilemeyen,Eski Kocasi,Atesli Silah, Tutuklu ,2014.0
317, Istanbul , Resit ,   Yok ,Tespit Edilemeyen,Tanimadigi Birisi,Kesici Alet, Tutuklu ,2014.0
